field	value
build_id	SPW-PHYSICAL-MULTI-ORDER-001-20260811
source_file	C:\Users\donov\Documents\Atlas\outputs\Sportpaleis-Snijtest-001\Sportpaleis-Snijtest-001-2-34-77.ai
production_route	Adobe Illustrator -> File -> Summa -> Send To WinPlot -> manual Flip Horizontally -> physical output
pre_mirrored	false
post_reopen_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_left_mm	5.000039334
post_reopen_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_top_mm	4.999867079
post_reopen_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_width_mm	200.000195312
post_reopen_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_height_mm	215.141389974
post_reopen_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_paths	2
post_reopen_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_source_signature_delta_pt	0
post_reopen_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_left_mm	211.400188531
post_reopen_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_top_mm	4.999867079
post_reopen_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_width_mm	200.000023058
post_reopen_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_height_mm	215.141389974
post_reopen_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_paths	2
post_reopen_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_source_signature_delta_pt	0.00097656299999
post_reopen_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_left_mm	5.000039334
post_reopen_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_top_mm	226.550168186
post_reopen_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_width_mm	200.000195312
post_reopen_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_height_mm	215.141389974
post_reopen_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_paths	2
post_reopen_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_source_signature_delta_pt	0.000690547
post_reopen_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_left_mm	211.400188531
post_reopen_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_top_mm	226.550168186
post_reopen_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_width_mm	200.000023058
post_reopen_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_height_mm	211.915402561
post_reopen_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_paths	2
post_reopen_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_source_signature_delta_pt	0.000679449
post_reopen_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_left_mm	211.400188531
post_reopen_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_top_mm	444.874826389
post_reopen_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_width_mm	200.000023058
post_reopen_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_height_mm	211.915402561
post_reopen_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_paths	2
post_reopen_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_source_signature_delta_pt	0.000679439
post_reopen_SPW_HA_09_Rugnummer_77_NIET_GESPIEGELD_left_mm	5.000039334
post_reopen_SPW_HA_09_Rugnummer_77_NIET_GESPIEGELD_top_mm	448.100124783
post_reopen_SPW_HA_09_Rugnummer_77_NIET_GESPIEGELD_width_mm	200.000195312
post_reopen_SPW_HA_09_Rugnummer_77_NIET_GESPIEGELD_height_mm	211.915402561
post_reopen_SPW_HA_09_Rugnummer_77_NIET_GESPIEGELD_paths	2
post_reopen_SPW_HA_09_Rugnummer_77_NIET_GESPIEGELD_source_signature_delta_pt	0
post_reopen_SPW_HA_01_Rugnummer_2_NIET_GESPIEGELD_left_mm	211.400188531
post_reopen_SPW_HA_01_Rugnummer_2_NIET_GESPIEGELD_top_mm	663.200173611
post_reopen_SPW_HA_01_Rugnummer_2_NIET_GESPIEGELD_width_mm	200.000023058
post_reopen_SPW_HA_01_Rugnummer_2_NIET_GESPIEGELD_height_mm	99.05820855
post_reopen_SPW_HA_01_Rugnummer_2_NIET_GESPIEGELD_paths	1
post_reopen_SPW_HA_01_Rugnummer_2_NIET_GESPIEGELD_source_signature_delta_pt	0.00097656299999
post_reopen_SPW_HA_04_Rugnummer_2_NIET_GESPIEGELD_left_mm	5.000039334
post_reopen_SPW_HA_04_Rugnummer_2_NIET_GESPIEGELD_top_mm	666.425127496
post_reopen_SPW_HA_04_Rugnummer_2_NIET_GESPIEGELD_width_mm	200.000195312
post_reopen_SPW_HA_04_Rugnummer_2_NIET_GESPIEGELD_height_mm	99.05820855
post_reopen_SPW_HA_04_Rugnummer_2_NIET_GESPIEGELD_paths	1
post_reopen_SPW_HA_04_Rugnummer_2_NIET_GESPIEGELD_source_signature_delta_pt	0
post_reopen_SPW_HA_07_Rugnummer_2_NIET_GESPIEGELD_left_mm	5.000039334
post_reopen_SPW_HA_07_Rugnummer_2_NIET_GESPIEGELD_top_mm	768.658336046
post_reopen_SPW_HA_07_Rugnummer_2_NIET_GESPIEGELD_width_mm	200.000195312
post_reopen_SPW_HA_07_Rugnummer_2_NIET_GESPIEGELD_height_mm	99.05820855
post_reopen_SPW_HA_07_Rugnummer_2_NIET_GESPIEGELD_paths	1
post_reopen_SPW_HA_07_Rugnummer_2_NIET_GESPIEGELD_source_signature_delta_pt	0
post_reopen_SPW_HA_10_Rugnummer_2_NIET_GESPIEGELD_left_mm	211.400188531
post_reopen_SPW_HA_10_Rugnummer_2_NIET_GESPIEGELD_top_mm	768.658336046
post_reopen_SPW_HA_10_Rugnummer_2_NIET_GESPIEGELD_width_mm	200.000023058
post_reopen_SPW_HA_10_Rugnummer_2_NIET_GESPIEGELD_height_mm	99.05820855
post_reopen_SPW_HA_10_Rugnummer_2_NIET_GESPIEGELD_paths	1
post_reopen_SPW_HA_10_Rugnummer_2_NIET_GESPIEGELD_source_signature_delta_pt	0.00097656299999
post_reopen_paths	16
post_reopen_closed_paths	16
post_reopen_open_paths	0
post_reopen_anchor_points	234
post_reopen_filled_paths	16
post_reopen_stroked_paths	0
post_reopen_text_items	0
post_reopen_raster_items	0
post_reopen_placed_items	0
post_reopen_plugin_items	0
